"Fecha";Local;Visita;Distancia
"1";"Deportes Antofagasta";"Deportes Iquique";"382173"
"1";"Deportes La Serena";"Cobresal";"436919"
"1";"Unión La Calera";"Coquimbo Unido";"313723"
"1";"Santiago Wanderers";"Everton";"9828.51"
"1";"Colo-Colo";"Audax Italiano";"4586"
"1";"Universidad de Chile";"Palestino";"8512.73"
"1";"Universidad Católica";"Unión Española";"14731.9"
"1";"Curicó Unido";"O'Higgins";"99421.1"
"1";"Universidad de Concepción";"Huachipato";"9995.54"
"2";"Cobresal";"Deportes Iquique";"670210"
"2";"Deportes La Serena";"Deportes Antofagasta";"699034"
"2";"Everton";"Coquimbo Unido";"339564"
"2";"Unión La Calera";"Santiago Wanderers";"48914.6"
"2";"Universidad de Chile";"Audax Italiano";"8996.96"
"2";"Palestino";"Colo-Colo";"6394.75"
"2";"O'Higgins";"Unión Española";"86284"
"2";"Curicó Unido";"Universidad Católica";"187918"
"2";"Curicó Unido";"Universidad Católica";"1e+12"
"2";"Huachipato";"Universidad de Concepción";"9995.54"
"3";"Deportes La Serena";"Deportes Iquique";"1.08098e+06"
"3";"Cobresal";"Deportes Antofagasta";"297547"
"3";"Santiago Wanderers";"Coquimbo Unido";"341124"
"3";"Unión La Calera";"Everton";"40461.1"
"3";"Palestino";"Audax Italiano";"9032.25"
"3";"Universidad de Chile";"Colo-Colo";"4699.84"
"3";"Curicó Unido";"Unión Española";"182301"
"3";"O'Higgins";"Universidad Católica";"89648.9"
"3";"O'Higgins";"Universidad Católica";"1e+12"
"3";"O'Higgins";"Universidad Católica";"1e+12"
"4";"Coquimbo Unido";"Deportes Iquique";"1.0879e+06"
"4";"Unión La Calera";"Deportes Antofagasta";"1.01641e+06"
"4";"Everton";"Cobresal";"774150"
"4";"Santiago Wanderers";"Deportes La Serena";"347897"
"4";"Unión Española";"Audax Italiano";"16900.8"
"4";"Universidad Católica";"Colo-Colo";"15711.3"
"4";"O'Higgins";"Palestino";"73293.1"
"4";"Curicó Unido";"Universidad de Chile";"177303"
"4";"Curicó Unido";"Universidad de Chile";"1e+12"
"4";"Curicó Unido";"Universidad de Chile";"1e+12"
"5";"Unión La Calera";"Deportes Iquique";"1.39858e+06"
"5";"Coquimbo Unido";"Deportes Antofagasta";"706083"
"5";"Santiago Wanderers";"Cobresal";"777464"
